Timestamp,Right Knee Angle,Right Elbow Angle
1747283037.8938668,179,162
1747283037.974697,179,163
1747283038.0623827,178,164
1747283038.155823,177,166
1747283038.2781837,177,168
1747283038.3725512,177,170
1747283038.469441,177,173
1747283038.562223,177,175
1747283038.6583726,178,176
1747283038.766567,177,177
1747283038.8573916,176,177
1747283038.9322338,174,177
1747283039.017957,172,177
1747283039.107494,171,177
1747283039.1896725,171,177
1747283039.2831218,170,176
1747283039.3829172,170,175
1747283039.4767668,170,172
1747283039.5993774,168,167
1747283039.6814322,165,161
1747283039.7744832,162,152
1747283039.8676944,159,141
1747283039.9744654,156,131
1747283040.0748363,155,124
1747283040.169629,156,121
1747283040.2650368,159,122
1747283040.358115,161,125
1747283040.452456,163,130
1747283040.5496142,165,135
1747283040.6554492,164,138
1747283040.7520075,163,143
1747283040.846283,161,148
1747283040.9552398,160,152
1747283041.0375586,158,155
1747283041.1311796,159,157
1747283041.2562032,159,158
1747283041.3991697,160,159
1747283041.505741,162,159
1747283041.6156251,165,160
1747283041.7232826,169,161
1747283041.8218706,172,162
1747283041.9246452,174,164
1747283042.0152533,174,166
1747283042.1378999,174,167
1747283042.2372258,174,168
1747283042.3316288,173,168
1747283042.4470727,173,168
1747283042.58403,174,168
1747283042.6807964,174,165
1747283042.7677596,174,162
1747283042.8513746,174,158
1747283042.9467125,175,153
1747283043.0401263,175,148
1747283043.13415,174,144
1747283043.228547,173,140
1747283043.3209662,171,137
1747283043.4150045,169,135
1747283043.5125983,168,133
1747283043.6081066,166,131
1747283043.7001414,165,131
1747283043.7948694,164,132
1747283043.9073813,163,133
1747283044.0190563,162,134
1747283044.161039,161,136
1747283044.2887027,161,138
1747283044.3825955,158,139
1747283044.487265,155,141
1747283044.5737689,152,141
1747283044.6653633,149,141
1747283044.7608519,146,141
1747283044.8705423,143,141
1747283044.975997,138,141
1747283045.0617933,131,141
1747283045.1567438,122,141
1747283045.2488346,128,141
1747283045.344146,123,140
1747283045.441499,114,140
1747283045.5356743,106,140
1747283045.6410959,99,141
1747283045.724449,77,142
1747283045.8178144,68,144
1747283045.9306548,65,147
1747283046.0215435,66,150
1747283046.115581,71,154
1747283046.207585,85,157
1747283046.312821,101,160
1747283046.4009671,119,162
1747283046.5069366,137,164
1747283046.6052625,152,164
1747283046.6974552,158,164
1747283046.788668,164,162
1747283046.8837273,166,160
1747283046.957154,164,157
1747283047.0384753,162,153
1747283047.121331,156,149
1747283047.214331,141,143
1747283047.308347,123,137
1747283047.4029665,105,131
1747283047.4976037,99,124
1747283047.5928376,100,117
1747283047.690691,116,110
1747283047.7839215,136,104
1747283047.8778925,157,98
1747283047.972338,167,93
1747283048.0667503,173,89
1747283048.161471,171,87
1747283048.2556486,169,85
1747283048.3564916,168,84
1747283048.4407933,169,83
1747283048.5565248,169,83
1747283048.6484876,169,83
1747283048.756981,169,83
1747283048.8727844,168,84
1747283048.981465,164,84
1747283049.0895164,162,84
1747283049.2147188,162,84
1747283049.3445916,163,83
1747283049.438394,166,83
1747283049.5314867,168,82
1747283049.6536634,171,81
1747283049.7515914,172,79
1747283049.8634,174,77
1747283049.9499755,172,75
1747283050.04214,171,72
1747283050.1520555,169,68
1747283050.247417,158,54
1747283050.3279102,154,67
1747283050.4269347,154,59
1747283050.546239,155,57
1747283050.6418386,156,69
1747283050.725317,167,69
1747283050.8201942,170,44
1747283050.970463,167,42
1747283051.0777576,165,61
1747283051.1497996,167,67
1747283051.2377532,165,94
1747283051.3317733,162,120
1747283051.4257803,168,138
1747283051.5310566,166,118
1747283051.626374,162,99
1747283051.7192707,159,82
1747283051.8107262,149,66
1747283051.8929474,145,56
1747283051.968173,147,60
1747283052.0524342,144,65
1747283052.1492026,142,70
1747283052.2435071,147,73
1747283052.3376558,147,77
1747283052.4351072,143,81
1747283052.5265405,141,84
1747283068.6443865,147,97
1747283068.7750773,154,111
1747283068.8656013,160,124
1747283068.9612179,166,136
1747283069.0550194,175,147
1747283069.1590545,175,147
1747283069.246845,175,147
1747283069.338431,174,148
1747283069.4305975,174,149
1747283069.525256,175,151
1747283069.6199086,176,153
1747283069.7171931,177,155
1747283069.8151915,178,155
1747283069.9024904,178,156
1747283069.9951968,178,155
1747283070.0909836,178,154
1747283070.1863825,177,154
1747283070.2984605,175,155
1747283070.5805197,175,159
1747283070.678794,175,161
1747283070.774884,174,161
1747283070.885718,172,162
1747283070.9964979,170,161
1747283071.090402,166,156
1747283071.3042645,144,152
1747283071.3860571,123,150
1747283071.4683166,105,148
1747283071.5788958,91,147
1747283071.6899993,82,148
1747283071.7854743,101,149
1747283071.8841825,121,150
1747283071.973808,140,152
1747283072.0698543,154,153
1747283072.1746018,156,154
1747283072.2745907,141,153
1747283072.385766,119,151
1747283072.4973993,98,148
1747283072.5912979,78,145
1747283072.6869462,62,140
1747283072.7812903,55,136
1747283072.8771875,51,131
1747283072.9729612,50,127
1747283073.0653982,51,123
1747283073.1608522,58,120
1747283073.2474234,65,117
1747283073.3367531,78,114
1747283073.4264684,94,111
1747283073.5350704,113,107
1747283073.6652534,130,103
1747283073.7581043,147,100
1747283073.8532188,159,100
1747283073.9499538,165,100
1747283074.0444124,169,102
1747283074.138267,170,104
1747283074.2344363,169,107
1747283074.3451507,169,110
1747283074.4358406,168,114
1747283074.5312212,168,119
1747283074.6213925,169,127
1747283074.7063444,172,135
1747283074.7990923,173,144
1747283074.9084754,176,154
1747283075.0141828,177,161
1747283075.0980928,176,166
1747283075.201519,175,169
1747283075.2809417,174,170
1747283075.3656688,174,170
1747283075.4761095,173,169
1747283075.5655537,174,168
1747283075.663837,174,168
1747283075.7567658,175,168
1747283075.8447092,175,168
1747283075.9367576,176,168
1747283076.010726,177,167
1747283076.1456683,174,164
1747283076.2584696,168,159
1747283076.386238,162,153
1747283076.498662,157,146
1747283076.606802,155,140
1747283076.7155647,155,136
1747283076.8112934,156,132
1747283076.9164155,157,131
1747283076.9892209,157,130
1747283077.0630236,156,131
1747283077.1378229,156,132
1747283077.2116244,158,135
1747283077.2764525,160,139
1747283077.3961875,162,141
1747283077.5496395,162,143
1747283077.7080884,160,144
1747283077.8425045,158,144
1747283077.9329116,155,144
1747283078.0410585,152,143
1747283078.1372044,151,143
1747283078.2297583,150,143
1747283078.344053,150,143
1747283078.45628,149,143
1747283078.5464628,149,143
1747283078.641462,149,144
1747283078.7343123,148,144
1747283078.8254669,147,144
1747283078.9024494,145,145
1747283079.0248919,140,144
1747283079.1155508,132,143
1747283079.2112374,122,142
1747283079.328016,109,141
1747283079.4137373,95,139
1747283079.5068796,85,137
1747283079.6160944,75,136
1747283079.7457979,64,134
1747283079.855273,58,133
1747283079.9488332,55,133
1747283080.0442767,56,133
1747283080.142692,64,135
1747283080.2319877,80,137
1747283080.3237088,101,140
1747283080.428469,120,142
1747283080.5385427,138,144
1747283080.626821,151,146
1747283080.7332633,159,147
1747283080.8390486,162,147
1747283080.9441366,165,148
1747283081.0411494,167,148
1747283081.1781645,167,149
1747283081.32893,166,150
1747283081.4275398,165,151
1747283081.5086803,164,151
1747283081.6194756,163,150
1747283081.7147274,161,149
1747283081.8068874,159,148
1747283081.9119232,151,146
1747283082.0176141,139,144
1747283082.107146,127,141
1747283082.21084,117,138
1747283082.310217,110,135
1747283082.4055762,111,131
1747283082.517349,109,127
1747283082.6142335,106,122
1747283082.7191646,108,118
1747283082.8148074,111,115
1747283082.936993,111,112
1747283083.0221455,124,109
1747283083.1146002,138,106
1747283083.2089694,148,105
1747283083.3034465,160,104
1747283083.399169,168,102
1747283083.492768,171,102
1747283083.5877137,172,102
1747283083.6817029,171,103
1747283083.7762809,168,104
1747283083.8732748,165,106
1747283083.9665973,162,109
1747283084.0621994,160,112
1747283084.1576583,159,114
1747283084.250907,158,117
1747283084.344832,156,119
1747283084.4373157,156,120
1747283084.5334446,151,120
1747283084.6314747,139,118
1747283084.7357683,124,115
1747283084.8411157,109,113
1747283084.9241807,101,111
1747283085.0243232,100,112
1747283085.126226,84,115
1747283085.1991072,76,120
1747283085.2895305,84,125
1747283085.3876038,71,130
1747283085.4936862,46,133
1747283085.5980043,43,134
1747283085.684546,38,134
1747283085.7953029,18,133
1747283085.8852596,21,131
1747283085.9628737,32,126
1747283086.0552974,47,121
1747283086.1391506,65,113
1747283086.2363815,89,105
1747283086.3301592,108,98
1747283086.4232194,125,93
1747283086.5170166,145,89
1747283086.6113012,159,87
1747283086.7236667,168,86
1747283086.8317564,173,85
1747283086.9257097,176,85
1747283087.0199606,175,84
1747283087.1194537,172,82
1747283087.2320714,170,81
1747283087.3415308,168,80
1747283087.4292448,167,80
1747283087.5296288,166,79
1747283087.623943,166,79
1747283087.706162,167,79
1747283087.792316,169,79
1747283087.8864183,172,78
1747283087.983874,174,78
1747283088.0737734,176,77
1747283088.1741645,175,77
1747283088.268536,164,77
1747283088.4029305,148,77
1747283088.4839122,131,77
1747283088.5776272,115,77
1747283088.6734514,102,77
1747283088.7696285,102,77
1747283088.8618677,108,77
1747283088.955928,120,77
1747283089.0528283,128,77
1747283089.1466076,133,77
1747283089.241087,135,76
1747283089.3353882,141,76
1747283089.4281373,142,75
1747283089.5221646,146,74
1747283089.6174922,152,72
1747283089.7103522,152,71
1747283089.806446,146,69
1747283089.8994143,140,67
1747283089.9983659,135,66
1747283090.0890758,135,64
1747283090.1821132,141,61
1747283090.3157997,145,57
1747283090.4284642,150,54
1747283090.5167425,155,51
1747283090.6144524,155,50
1747283090.7024705,150,51
1747283090.8157992,148,52
1747283090.9251196,146,55
1747283091.0159414,138,58
1747283091.1003723,135,63
1747283091.2098804,140,67
1747283091.3218782,141,72
1747283091.3960297,143,77
1747283091.4933736,148,82
1747283091.6297486,143,87
1747283091.751422,127,92
1747283091.8673863,110,98
1747283091.9923048,92,104
1747283092.085485,78,110
1747283092.169512,69,117
1747283092.268582,66,122
1747283092.3515859,68,125
1747283092.4887867,79,128
1747283092.573264,98,130
1747283092.6672263,116,131
1747283092.7658336,130,133
1747283092.861156,147,135
1747283092.9468803,158,137
1747283093.0469577,158,139
1747283093.12425,161,141
1747283093.2176268,169,143
1747283093.3290217,172,144
1747283093.4681232,172,145
1747283093.5744972,173,145
1747283093.6716127,173,145
1747283093.7648623,171,145
1747283093.8538542,172,145
1747283093.9374537,172,145
1747283094.0061178,171,144
1747283094.1027536,169,144
1747283094.208774,170,144
1747283094.2932463,169,144
1747283094.3861363,161,145
1747283094.4782352,146,146
1747283094.5723078,115,148
1747283094.6737273,88,151
1747283094.762888,61,154
1747283094.8585775,39,157
1747283094.9392757,24,160
1747283095.0221589,25,162
1747283095.1173468,26,163
1747283095.209984,28,163
1747283095.3052435,31,162
1747283095.3988993,38,162
1747283095.4925616,49,161
1747283095.5885594,57,160
1747283095.6820364,70,158
1747283095.805587,87,157
1747283095.9127877,106,156
1747283095.9806066,125,157
1747283096.0969706,143,158
1747283096.203678,156,160
1747283096.2923841,166,163
1747283096.3786676,172,165
1747283096.48092,175,167
1747283096.56602,175,168
1747283096.6787786,173,168
1747283096.7877042,172,168
1747283096.9025223,169,168
1747283097.0071301,166,168
1747283097.1057196,164,168
1747283097.1971853,163,168
1747283097.2926764,161,168
1747283097.4051824,158,168
1747283097.499852,157,168
1747283097.593665,157,167
1747283097.6979682,156,168
1747283097.7847173,159,167
1747283097.8792274,163,166
1747283097.9756646,167,165
1747283098.068738,169,165
1747283098.1616216,171,164
1747283098.2435315,169,165
1747283098.355926,164,165
1747283098.4505222,164,166
1747283098.5452998,165,167
1747283098.6543899,165,168
1747283098.7613008,167,168
1747283098.8333998,173,168
1747283098.9255047,173,169
1747283099.0208087,172,169
1747283099.1160142,167,169
1747283099.2103798,158,168
1747283099.3018863,138,167
1747283099.3986683,104,166
1747283099.490688,72,165
1747283099.5865386,44,165
1747283099.6813004,26,164
1747283099.775142,21,164
1747283099.870795,35,163
